Economy,Year,Economy Code,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)"
Aruba,2018,ABW,
Afghanistan,2018,AFG,0.36
Angola,2018,AGO,11.05
Albania,2018,ALB,11.63
Andorra,2018,AND,17.17
United Arab Emirates,2018,ARE,4.88
Argentina,2018,ARG,14.94
Armenia,2018,ARM,9.14
American Samoa,2018,ASM,
Antigua and Barbuda,2018,ATG,10.26
Australia,2018,AUS,15.96
Austria,2018,AUT,18.49
Azerbaijan,2018,AZE,7.51
Burundi,2018,BDI,11.86
Belgium,2018,BEL,17.15
Benin,2018,BEN,4.53
Burkina Faso,2018,BFA,20.17
Bangladesh,2018,BGD,0.033
Bulgaria,2018,BGR,20.17
Bahrain,2018,BHR,1.5
"Bahamas, The",2018,BHS,7.62
Bosnia and Herzegovina,2018,BIH,11.83
Belarus,2018,BLR,18.71
Belize,2018,BLZ,9.94
Bermuda,2018,BMU,
Bolivia,2018,BOL,6.8
Brazil,2018,BRA,11.82
Barbados,2018,BRB,15.98
Brunei Darussalam,2018,BRN,0.72
Bhutan,2018,BTN,0.67
Botswana,2018,BWA,10.85
Central African Republic,2018,CAF,3.85
Canada,2018,CAN,13.95
Switzerland,2018,CHE,17.65
Channel Islands,2018,CHI,
Chile,2018,CHL,13.89
China,2018,CHN,10.92
Cote d'Ivoire,2018,CIV,4.3
Cameroon,2018,CMR,8.96
"Congo, Dem. Rep.",2018,COD,3.2
"Congo, Rep.",2018,COG,14.63
Colombia,2018,COL,9.3
Comoros,2018,COM,1.2
Cabo Verde,2018,CPV,8.81
Costa Rica,2018,CRI,7.77
Cuba,2018,CUB,9.25
Curacao,2018,CUW,
Cayman Islands,2018,CYM,
Cyprus,2018,CYP,16.92
Czechia,2018,CZE,22.28
Germany,2018,DEU,19.9
Djibouti,2018,DJI,0.75
Dominica,2018,DMA,18.07
Denmark,2018,DNK,15.78
Dominican Republic,2018,DOM,10.66
Algeria,2018,DZA,1.63
Ecuador,2018,ECU,6.43
"Egypt, Arab Rep.",2018,EGY,0.62
Eritrea,2018,ERI,2.39
Spain,2018,ESP,20.07
Estonia,2018,EST,14.96
Ethiopia,2018,ETH,3.91
Finland,2018,FIN,16.77
Fiji,2018,FJI,5.49
France,2018,FRA,19.18
Faroe Islands,2018,FRO,
"Micronesia, Fed. Sts.",2018,FSM,4.06
Gabon,2018,GAB,13.17
United Kingdom,2018,GBR,17.76
Georgia,2018,GEO,13.58
Ghana,2018,GHA,4.4
Gibraltar,2018,GIB,
Guinea,2018,GIN,1.89
"Gambia, The",2018,GMB,6.07
Guinea-Bissau,2018,GNB,8.95
Equatorial Guinea,2018,GNQ,10.07
Greece,2018,GRC,16.17
Grenada,2018,GRD,15.07
Greenland,2018,GRL,
Guatemala,2018,GTM,3.97
Guam,2018,GUM,
Guyana,2018,GUY,11.02
"Hong Kong SAR, China",2018,HKG,
Honduras,2018,HND,6.07
Croatia,2018,HRV,14.73
Haiti,2018,HTI,4.47
Hungary,2018,HUN,18.1
Indonesia,2018,IDN,0.98
Isle of Man,2018,IMN,
India,2018,IND,8.99
Ireland,2018,IRL,19.62
"Iran, Islamic Rep.",2018,IRN,1.79
Iraq,2018,IRQ,0.67
Iceland,2018,ISL,13.9
Israel,2018,ISR,6.58
Italy,2018,ITA,12.46
Jamaica,2018,JAM,6.79
Jordan,2018,JOR,1.19
Japan,2018,JPN,12.29
Kazakhstan,2018,KAZ,7.92
Kenya,2018,KEN,4.55
Kyrgyz Republic,2018,KGZ,10.79
Cambodia,2018,KHM,10.9
Kiribati,2018,KIR,0.77
St. Kitts and Nevis,2018,KNA,14.14
"Korea, Rep.",2018,KOR,14.65
Kuwait,2018,KWT,0.004
Lao PDR,2018,LAO,17.05
Lebanon,2018,LBN,2.86
Liberia,2018,LBR,9.74
Libya,2018,LBY,0.034
St. Lucia,2018,LCA,17.16
Liechtenstein,2018,LIE,
Sri Lanka,2018,LKA,6.78
Lesotho,2018,LSO,7.89
Lithuania,2018,LTU,21.29
Luxembourg,2018,LUX,19.51
Latvia,2018,LVA,20.92
"Macao SAR, China",2018,MAC,
St. Martin (French part),2018,MAF,
Morocco,2018,MAR,1.22
Monaco,2018,MCO,
Moldova,2018,MDA,18.29
Madagascar,2018,MDG,3.2
Maldives,2018,MDV,3.45
Mexico,2018,MEX,7.95
Marshall Islands,2018,MHL,
North Macedonia,2018,MKD,9.93
Mali,2018,MLI,2.2
Malta,2018,MLT,12.42
Myanmar,2018,MMR,8.43
Montenegro,2018,MNE,18.3
Mongolia,2018,MNG,12.79
Northern Mariana Islands,2018,MNP,
Mozambique,2018,MOZ,3.86
Mauritania,2018,MRT,0.062
Mauritius,2018,MUS,6.97
Malawi,2018,MWI,6
Malaysia,2018,MYS,1.35
Namibia,2018,NAM,9.1
New Caledonia,2018,NCL,
Niger,2018,NER,1.16
Nigeria,2018,NGA,17.24
Nicaragua,2018,NIC,8.48
Netherlands,2018,NLD,14.83
Norway,2018,NOR,11.2
Nepal,2018,NPL,3.49
Nauru,2018,NRU,6.16
New Zealand,2018,NZL,16.36
Oman,2018,OMN,1.04
Pakistan,2018,PAK,0.57
Panama,2018,PAN,12.57
Peru,2018,PER,9.77
Philippines,2018,PHL,10.95
Palau,2018,PLW,
Papua New Guinea,2018,PNG,2.3
Poland,2018,POL,18.41
Puerto Rico,2018,PRI,
"Korea, Dem. People's Rep.",2018,PRK,6.29
Portugal,2018,PRT,19.41
Paraguay,2018,PRY,11.86
West Bank and Gaza,2018,PSE,
French Polynesia,2018,PYF,
Qatar,2018,QAT,1.91
